   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, selection_cmp, selection_swaps, selection_time, bubble_cmp, bubble_swaps, bubble_time
 623,           919,             298,            228,      5216,         890,       1511,      2942,           0,       1569,        194376,             176,          33073,     193753,          298,       32627
 624,           921,             299,            241,      5226,         893,       1544,      2961,           0,       1600,        195000,             177,          34452,     194376,          299,       34049
 625,           922,             299,            240,      5229,         870,       1575,      2966,           0,       1637,        195625,             177,          34774,     195000,          299,       33729
 626,           925,             301,            247,      5238,         865,       1574,      2979,           0,       1650,        196251,             179,          34407,     195625,          301,       32964
 627,           929,             304,            242,      5264,         882,       1562,      2967,           0,       1603,        196878,             180,          33941,     196251,          304,       32561
 628,           930,             304,            244,      5281,         883,       1579,      2968,           0,       1610,        197506,             180,          34583,     196878,          304,       33284
 629,           931,             304,            236,      5265,         887,       1552,      2971,           0,       1608,        198135,             180,          34623,     197506,          304,       33255
 630,           933,             305,            241,      5286,         900,       1577,      2998,           0,       1614,        198765,             181,          34384,     198135,          305,       33391
 631,           934,             305,            236,      5315,         912,       1597,      3003,           0,       1627,        199396,             181,          34466,     198765,          305,       33384
 632,           936,             306,            245,      5339,         921,       1585,      2986,           0,       1615,        200028,             182,          35017,     199396,          306,       33731
 633,           937,             306,            255,      5312,         906,       1592,      3000,           0,       1721,        200661,             182,          35656,     200028,          306,       32982
 634,           938,             306,            241,      5325,         901,       1538,      3005,           0,       1585,        201295,             182,          34374,     200661,          306,       33446
 635,           940,             307,            233,      5360,         905,       1545,      3009,           0,       1597,        201930,             183,          34664,     201295,          307,       34010
 636,           941,             307,            245,      5362,         910,       1582,      3023,           0,       1631,        202566,             183,          35549,     201930,          307,       34221
 637,           945,             310,            240,      5362,         907,       1588,      3025,           0,       1658,        203203,             184,          35231,     202566,          310,       34210
 638,           948,             312,            248,      5384,         906,       1593,      3043,           0,       1641,        203841,             184,          35784,     203203,          312,       34639
 639,           949,             312,            241,      5399,         919,       1599,      3044,           0,       1642,        204480,             184,          35409,     203841,          312,       34348
 640,           950,             312,            249,      5407,         915,       1602,      3066,           0,       1651,        205120,             184,          35921,     204480,          312,       34802
 641,           951,             312,            242,      5412,         922,       1567,      3068,           0,       1615,        205761,             184,          35158,     205120,          312,       34814
 642,           953,             313,            246,      5392,         903,       1591,      3074,           0,       1646,        206403,             185,          35249,     205761,          313,       34834
 643,           954,             313,            248,      5434,         923,       1600,      3071,           0,       1659,        207046,             185,          35935,     206403,          313,       34932
 644,           955,             313,            244,      5454,         929,       1614,      3064,           0,       1657,        207690,             185,          36161,     207046,          313,       35101
 645,           956,             313,            248,      5451,         925,       1603,      3064,           0,       1657,        208335,             185,          36177,     207690,          313,       35240
 646,           958,             314,            250,      5455,         930,       1629,      3076,           0,       1672,        208981,             186,          36314,     208335,          314,       35398
 647,           959,             314,            258,      5449,         922,       1657,      3088,           0,       1765,        209628,             186,          37172,     208981,          314,       35413
 648,           962,             316,            248,      5452,         915,       1616,      3078,           0,       1675,        210276,             187,          36639,     209628,          316,       35563
 649,           967,             320,            253,      5473,         921,       1613,      3089,           0,       1666,        210925,             187,          36633,     210276,          320,       35641
 650,           968,             320,            249,      5483,         922,       1613,      3093,           0,       1677,        211575,             187,          36911,     210925,          320,       35712
 651,           969,             320,            250,      5514,         925,       1623,      3094,           0,       1679,        212226,             187,          36978,     211575,          320,       35843
 652,           971,             321,            254,      5526,         930,       1631,      3109,           0,       1680,        212878,             188,          37024,     212226,          321,       35995
 653,           972,             321,            251,      5516,         928,       1627,      3110,           0,       1684,        213531,             188,          37184,     212878,          321,       36083
 654,           973,             321,            251,      5538,         935,       1640,      3115,           0,       1681,        214185,             188,          37386,     213531,          321,       36235
 655,           975,             322,            263,      5535,         946,       1641,      3116,           0,       1688,        214840,             189,          37430,     214185,          322,       36337
 656,           976,             322,            252,      5560,         948,       1646,      3133,           0,       1695,        215496,             189,          37412,     214840,          322,       36386
 657,           977,             322,            251,      5568,         952,       1646,      3135,           0,       1693,        216153,             189,          37635,     215496,          322,       36540
 658,           979,             323,            255,      5576,         945,       1650,      3137,           0,       1698,        216811,             190,          38746,     216153,          323,       36671
 659,           980,             323,            253,      5581,         942,       1656,      3140,           0,       1700,        217470,             190,          37940,     216811,          323,       36859
 660,           984,             326,            280,      5602,         938,       1724,      3153,           0,       1791,        218130,             191,          39084,     217470,          326,       36763
 661,           986,             327,            257,      5585,         928,       1657,      3157,           0,       1729,        218791,             192,          38257,     218130,          327,       37069
 662,           987,             327,            255,      5603,         935,       1656,      3144,           0,       1716,        219453,             192,          38274,     218791,          327,       37129
 663,           988,             327,            255,      5599,         930,       1656,      3155,           0,       1708,        220116,             192,          38393,     219453,          327,       37262
 664,           989,             327,            257,      5615,         937,       1656,      3167,           0,       1739,        220780,             192,          38482,     220116,          327,       37395
 665,           990,             327,            256,      5637,         941,       1655,      3170,           0,       1712,        221445,             192,          38538,     220780,          327,       37532
 666,           991,             327,            257,      5657,         943,       1662,      3176,           0,       1712,        222111,             192,          38680,     221445,          327,       37685
 667,           992,             327,            258,      5688,         958,       1677,      3189,           0,       1719,        222778,             192,          38877,     222111,          327,       37575
 668,           994,             328,            261,      5710,         969,       1696,      3186,           0,       1720,        223446,             193,          39214,     222778,          328,       38127
 669,           995,             328,            260,      5692,         960,       1684,      3188,           0,       1724,        224115,             193,          39263,     223446,          328,       38186
 670,           996,             328,            260,      5692,         960,       1689,      3203,           0,       1733,        224785,             193,          38980,     224115,          328,       37960
 671,           997,             328,            263,      5698,         963,       1715,      3199,           0,       1728,        225456,             193,          39474,     224785,          328,       38363
 672,           999,             329,            262,      5716,         959,       1688,      3199,           0,       1729,        226128,             194,          39659,     225456,          329,       38550
 673,          1003,             332,            275,      5732,         960,       1760,      3205,           0,       1826,        226801,             195,          41028,     226128,          332,       38566
 674,          1004,             332,            267,      5750,         965,       1702,      3212,           0,       1745,        227475,             195,          44228,     226801,          332,       38666
 675,          1005,             332,            272,      5720,         948,       1700,      3211,           0,       1806,        228150,             195,          40131,     227475,          332,       38603
 676,          1006,             332,            263,      5732,         955,       1688,      3232,           0,       1749,        228826,             195,          40146,     228150,          332,       38621
 677,          1007,             332,            264,      5764,         965,       1713,      3240,           0,       1747,        229503,             195,          40263,     228826,          332,       38708
 678,          1008,             332,            263,      5770,         968,       1700,      3246,           0,       1750,        230181,             195,          40730,     229503,          332,       40339
 679,          1009,             332,            267,      5782,         971,       1736,      3251,           0,       1775,        230860,             195,          40663,     230181,          332,       39291
 680,          1011,             333,            266,      5788,         970,       1712,      3244,           0,       1754,        231540,             196,          40827,     230860,          333,       39325
 681,          1012,             333,            267,      5801,         967,       1708,      3250,           0,       1760,        232221,             196,          40837,     231540,          333,       39501
 682,          1013,             333,            265,      5825,         978,       1723,      3260,           0,       1818,        232903,             196,          41727,     232221,          333,       39628
 683,          1014,             333,            282,      5830,         977,       1722,      3264,           0,       1763,        233586,             196,          41101,     232903,          333,       39615
 684,          1015,             333,            265,      5836,         981,       1731,      3251,           0,       1772,        234270,             196,          42132,     233586,          333,       42663
 685,          1016,             333,            279,      5849,         984,       1891,      3255,           0,       1888,        234955,             196,          44205,     234270,          333,       41424
 686,          1018,             334,            296,      5839,         988,       1907,      3273,           0,       1821,        235641,             197,          42068,     234955,          334,       40432
 687,          1021,             336,            269,      5852,         987,       1728,      3295,           0,       1791,        236328,             197,          41639,     235641,          336,       40749
 688,          1023,             337,            271,      5849,         985,       1729,      3293,           0,       1780,        237016,             198,          42133,     236328,          337,       40151
 689,          1025,             338,            277,      5909,         993,       1764,      3294,           0,       1782,        237705,             199,          41757,     237016,          338,       40211
 690,          1026,             338,            269,      5926,         994,       1753,      3303,           0,       1785,        238395,             199,          41507,     237705,          338,       40604
 691,          1027,             338,            282,      5891,         989,       1741,      3304,           0,       1794,        239086,             199,          42030,     238395,          338,       40277
 692,          1028,             338,            269,      5901,         992,       1760,      3308,           0,       1791,        239778,             199,          42172,     239086,          338,       40678
 693,          1030,             339,            271,      5919,         994,       1749,      3312,           0,       1815,        240471,             200,          42788,     239778,          339,       40770
 694,          1031,             339,            270,      5941,        1007,       1759,      3317,           0,       1815,        241165,             200,          42061,     240471,          339,       40962
 695,          1035,             342,            265,      5945,         987,       1774,      3328,           0,       1805,        241860,             201,          42207,     241165,          342,       41244
 696,          1036,             342,            267,      5945,         984,       1745,      3343,           0,       1800,        242556,             201,          41940,     241860,          342,       40105
 697,          1037,             342,            278,      5944,         986,       1788,      3346,           0,       1912,        243253,             201,          43726,     242556,          342,       41477
 698,          1038,             342,            271,      5949,        1001,       1753,      3347,           0,       1806,        243951,             201,          42972,     243253,          342,       41543
 699,          1040,             343,            269,      5963,         991,       1752,      3344,           0,       1804,        244650,             202,          42850,     243951,          343,       41752
 700,          1043,             345,            272,      5963,         990,       1749,      3383,           0,       1821,        245350,             202,          42821,     244650,          345,       41787
 701,          1044,             345,            267,      6008,         999,       1764,      3382,           0,       1824,        246051,             202,          43009,     245350,          345,       42144
 702,          1049,             349,            274,      6021,         999,       1765,      3386,           0,       1819,        246753,             204,          43371,     246051,          349,       42159
 703,          1050,             349,            270,      6016,        1001,       1779,      3385,           0,       1822,        247456,             204,          43279,     246753,          349,       42211
 704,          1051,             349,            273,      6029,        1001,       1774,      3393,           0,       1826,        248160,             204,          43316,     247456,          349,       42218
 705,          1052,             349,            272,      6012,         993,       1764,      3395,           0,       1835,        248865,             204,          43708,     248160,          349,       42474
 706,          1055,             351,            277,      6040,        1010,       1782,      3403,           0,       1839,        249571,             206,          43536,     248865,          351,       42537
 707,          1056,             351,            272,      6065,        1013,       1816,      3418,           0,       1837,        250278,             206,          43818,     249571,          351,       42636
 708,          1058,             352,            274,      6068,        1007,       1783,      3408,           0,       1839,        250986,             207,          44301,     250278,          352,       42726
 709,          1059,             352,            287,      6090,        1008,       1860,      3411,           0,       1949,        251695,             207,          46036,     250986,          352,       44195
 710,          1060,             352,            286,      6093,        1019,       1846,      3428,           0,       1887,        252405,             207,          45248,     251695,          352,       43370
 711,          1061,             352,            276,      6078,         999,       1807,      3424,           0,       1884,        253116,             207,          44368,     252405,          352,       43050
 712,          1062,             352,            275,      6080,         998,       1798,      3433,           0,       1859,        253828,             207,          44414,     253116,          352,       43251
 713,          1063,             352,            277,      6111,        1017,       1798,      3443,           0,       1863,        254541,             207,          44492,     253828,          352,       43290
 714,          1065,             353,            275,      6129,        1026,       1808,      3446,           0,       1868,        255255,             208,          44993,     254541,          353,       43430
 715,          1068,             355,            275,      6112,        1018,       1805,      3435,           0,       1851,        255970,             208,          44775,     255255,          355,       43699
 716,          1069,             355,            282,      6100,        1011,       1893,      3468,           0,       1994,        256686,             208,          45569,     255970,          355,       43666
