   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, selection_cmp, selection_swaps, selection_time, bubble_cmp, bubble_swaps, bubble_time
 412,         43063,           42657,           9445,      5245,        1138,        947,      3062,           0,        910,         85078,             400,           7711,      84666,        42657,       12948
 413,         43172,           42765,           9541,      5087,        1123,        924,      3082,           0,        890,         85491,             404,           7540,      85078,        42765,       12614
 414,         43199,           42791,           9206,      5285,        1150,        925,      3067,           0,        881,         85905,             408,           7647,      85491,        42791,       13007
 415,         43481,           43072,           9550,      5451,        1137,        975,      3076,           0,        909,         86320,             411,           7677,      85905,        43072,       12760
 416,         43544,           43134,           9328,      5397,        1139,        982,      3093,           0,        893,         86736,             413,           7643,      86320,        43134,       12740
 417,         43648,           43237,           9469,      5206,        1155,        917,      3101,           0,        910,         87153,             410,           7709,      86736,        43237,       13005
 418,         43872,           43460,           9512,      5716,        1111,        986,      3110,           0,        932,         87571,             411,           7852,      87153,        43460,       13261
 419,         43979,           43566,           9720,      5406,        1151,        972,      3126,           0,        930,         87990,             412,           8027,      87571,        43566,       13503
 420,         44099,           43685,           9690,      5234,        1147,        946,      3136,           0,        908,         88410,             411,           7853,      87990,        43685,       13014
 421,         44243,           43828,           9494,      5164,        1179,        926,      3143,           0,        909,         88831,             412,           7966,      88410,        43828,       13399
 422,         44443,           44027,           9782,      4874,        1180,        914,      3155,           0,        940,         89253,             418,           8115,      88831,        44027,       13442
 423,         44572,           44155,           9783,      5659,        1177,       1001,      3157,           0,        941,         89676,             416,           7931,      89253,        44155,       13160
 424,         44961,           44543,           9591,      5346,        1186,        962,      3163,           0,        914,         90100,             414,           8048,      89676,        44543,       13615
 425,         45218,           44799,           9971,      5097,        1187,        989,      3175,           0,        918,         90525,             418,           8033,      90100,        44799,       13375
 426,         45420,           45000,          10003,      5103,        1179,        954,      3185,           0,        947,         90951,             419,           8098,      90525,        45000,       13396
 427,         45482,           45061,           9719,      5562,        1183,        969,      3194,           0,        920,         91378,             420,           8290,      90951,        45061,       13816
 428,         45531,           45109,           9988,      5570,        1179,       1003,      3192,           0,        943,         91806,             422,           8361,      91378,        45109,       13891
 429,         45699,           45276,          10086,      5485,        1169,        982,      3205,           0,        957,         92235,             423,           8183,      91806,        45276,       14281
 430,         45713,           45289,          10443,      5442,        1192,        958,      3208,           0,        926,         92665,             424,           8254,      92235,        45289,       13633
 431,         45755,           45330,           9851,      5492,        1200,        966,      3218,           0,        942,         93096,             425,           8539,      92665,        45330,       14069
 432,         45808,           45382,          10144,      5862,        1212,       1034,      3242,           0,        928,         93528,             425,           8341,      93096,        45382,       13823
 433,         46132,           45705,          10655,      5649,        1190,        982,      3253,           0,        982,         93961,             425,           8656,      93528,        45705,       13875
